name,ascii_name,pop,timezone,country,lat,lng
Shanghai,Shanghai,22315474,Asia/Shanghai,CN,31.22222,121.45806
Beijing,Beijing,18960744,Asia/Shanghai,CN,39.9075,116.39723
Shenzhen,Shenzhen,17494398,Asia/Shanghai,CN,22.54554,114.0683
Guangzhou,Guangzhou,16096724,Asia/Shanghai,CN,23.11667,113.25
Kinshasa,Kinshasa,16000000,Africa/Kinshasa,CD,-4.32758,15.31357
Lagos,Lagos,15388000,Africa/Lagos,NG,6.45407,3.39467
Istanbul,Istanbul,14804116,Europe/Istanbul,TR,41.01384,28.94966
Chengdu,Chengdu,13568357,Asia/Shanghai,CN,30.66667,104.06667
Mumbai,Mumbai,12691836,Asia/Kolkata,IN,19.07283,72.88261
São Paulo,Sao Paulo,12400232,America/Sao_Paulo,BR,-23.5475,-46.63611
Mexico City,Mexico City,12294193,America/Mexico_City,MX,19.42847,-99.12766
Karachi,Karachi,11624219,Asia/Karachi,PK,24.8608,67.0104
Tianjin,Tianjin,11090314,Asia/Shanghai,CN,39.14222,117.17667
Delhi,Delhi,10927986,Asia/Kolkata,IN,28.65195,77.23149
Wuhan,Wuhan,10392693,Asia/Shanghai,CN,30.58333,114.26667
Moscow,Moscow,10381222,Europe/Moscow,RU,55.75222,37.61556
Dhaka,Dhaka,10356500,Asia/Dhaka,BD,23.7104,90.40744
Seoul,Seoul,10349312,Asia/Seoul,KR,37.566,126.9784
Dongguan,Dongguan,9644871,Asia/Shanghai,CN,23.01797,113.74866
Cairo,Cairo,9606916,Africa/Cairo,EG,30.06263,31.24967
Xi’an,Xi'an,9600000,Asia/Shanghai,CN,34.25833,108.92861
Nanjing,Nanjing,9314685,Asia/Shanghai,CN,32.06167,118.77778
Hangzhou,Hangzhou,9236032,Asia/Shanghai,CN,30.29365,120.16142
Foshan,Foshan,9042509,Asia/Shanghai,CN,23.02677,113.13148
Ho Chi Minh City,Ho Chi Minh City,8993082,Asia/Ho_Chi_Minh,VN,10.82302,106.62965
London,London,8961989,Europe/London,GB,51.50853,-0.12574
New York City,New York City,8804190,America/New_York,US,40.71427,-74.00597
Jakarta,Jakarta,8540121,Asia/Jakarta,ID,-6.21462,106.84513
Bengaluru,Bengaluru,8443675,Asia/Kolkata,IN,12.97194,77.59369
Tokyo,Tokyo,8336599,Asia/Tokyo,JP,35.6895,139.69171
Hanoi,Hanoi,8053663,Asia/Bangkok,VN,21.0245,105.84117
Taipei,Taipei,7871900,Asia/Taipei,TW,25.04776,121.53185
Lima,Lima,7737002,America/Lima,PE,-12.04318,-77.02824
Bogotá,Bogota,7674366,America/Bogota,CO,4.60971,-74.08175
Hong Kong,Hong Kong,7491609,Asia/Hong_Kong,HK,22.27832,114.17469
Chongqing,Chongqing,7457599,Asia/Shanghai,CN,29.56026,106.55771
Baghdad,Baghdad,7216000,Asia/Baghdad,IQ,33.34058,44.40088
Qingdao,Qingdao,7172451,Asia/Shanghai,CN,36.06488,120.38042
Tehran,Tehran,7153309,Asia/Tehran,IR,35.69439,51.42151
Shenyang,Shenyang,7050000,Asia/Shanghai,CN,41.79222,123.43278
Hyderābād,Hyderabad,6809970,Asia/Kolkata,IN,17.38405,78.45636
Rio de Janeiro,Rio de Janeiro,6747815,America/Sao_Paulo,BR,-22.90642,-43.18223
Suzhou,Suzhou,6715559,Asia/Shanghai,CN,31.30408,120.59538
Ahmedabad,Ahmedabad,6357693,Asia/Kolkata,IN,23.02579,72.58727
Abidjan,Abidjan,6321017,Africa/Abidjan,CI,5.35444,-4.00167
Lahore,Lahore,6310888,Asia/Karachi,PK,31.558,74.35071
Singapore,Singapore,5638700,Asia/Singapore,SG,1.28967,103.85007
Johannesburg,Johannesburg,5635127,Africa/Johannesburg,ZA,-26.20227,28.04363
Dar es Salaam,Dar es Salaam,5383728,Africa/Dar_es_Salaam,TZ,-6.82349,39.26951
Saint Petersburg,Saint Petersburg,5351935,Europe/Moscow,RU,59.93863,30.31413
Alexandria,Alexandria,5263542,Africa/Cairo,EG,31.20176,29.91582
Harbin,Harbin,5242897,Asia/Shanghai,CN,45.75,126.65
Sydney,Sydney,5231147,Australia/Sydney,AU,-33.86785,151.20732
Bangkok,Bangkok,5104476,Asia/Bangkok,TH,13.75398,100.50144
Hefei,Hefei,5050000,Asia/Shanghai,CN,31.86389,117.28083
Melbourne,Melbourne,4917750,Australia/Melbourne,AU,-37.814,144.96332
Dalian,Dalian,4913879,Asia/Shanghai,CN,38.91222,121.60222
Kano,Kano,4910000,Africa/Lagos,NG,12.00012,8.51672
Santiago,Santiago,4837295,America/Santiago,CL,-33.45694,-70.64827
Changchun,Changchun,4714996,Asia/Shanghai,CN,43.88,125.32278
Cape Town,Cape Town,4710000,Africa/Johannesburg,ZA,-33.92584,18.42322
Jeddah,Jeddah,4697000,Asia/Riyadh,SA,21.49012,39.18624
Chennai,Chennai,4681087,Asia/Kolkata,IN,13.08784,80.27847
Kolkata,Kolkata,4631392,Asia/Kolkata,IN,22.56263,88.36304
Xiamen,Xiamen,4617251,Asia/Shanghai,CN,24.47979,118.08187
Surat,Surat,4591246,Asia/Kolkata,IN,21.19594,72.83023
Yangon,Yangon,4477638,Asia/Yangon,MM,16.80528,96.15611
Kabul,Kabul,4434550,Asia/Kabul,AF,34.52813,69.17233
Nairobi,Nairobi,4397073,Africa/Nairobi,KE,-1.28333,36.81667
Wuxi,Wuxi,4396835,Asia/Shanghai,CN,31.56887,120.28857
Giza,Giza,4367343,Africa/Cairo,EG,30.00944,31.20861
Jinan,Jinan,4335989,Asia/Shanghai,CN,36.66833,116.99722
Taiyuan,Taiyuan,4303673,Asia/Shanghai,CN,37.86944,112.56028
Zhengzhou,Zhengzhou,4253913,Asia/Shanghai,CN,34.75778,113.64861
Bamako,Bamako,4227569,Africa/Bamako,ML,12.65,-8.0
