name, sym, color
aries, ♈, red
taurus, ♉, yellow
gemini, ♊, green
cancer, ♋, blue
leo, ♌, red
virgo, ♍, yellow
libra, ♎, green
scorpio, ♏, blue
sagittarius, ♐, red
capricorn, ♑, yellow
aquarius, ♒, green
pisces, ♓, blue



sun, ☉, red
moon, ☽, blue
mercury, ☿, yellow
venus, ♀, green
mars, ♂, red
jupiter, ♃, red
saturn, ♄, yellow
uranus, ♅, green
neptune, ♆, blue
pluto, ♇, blue
chiron, ⚷, purple
pholus, ⯛, purple
ceres, ⚳, purple
pallas, ⚴, purple
juno, ⚵, purple
vesta, ⚶, purple
mean_node, ☊, aqua
asc, Asc, red
mc, MC, yellow
retro, ℞, red
conjunction, ☌, red
opposition, ☍, blue
trine, △, green
square, □, yellow
sextile, ⚹, aqua
cardinal, ⟑, red
fixed, ⊟, yellow
mutable, 𛰣, green
positive, +, pink
negative, -, brown





















